,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Mexiko,Mexiko,LOC,-0.09655172,0.37931034,de,29,,0,,,,,,
Elbe,Elbe,LOC,0.00000000,0.57142857,de,21,,0,,,,,,
Sachsen-Anhalt,Sachsen-Anhalt,LOC,0.19285714,0.28571429,de,14,,0,,,,,,
Niedersachsen,Niedersachsen,LOC,0.21818182,0.27272727,de,11,,0,,,,,,
Brandenburg,Brandenburg,LOC,0.15454545,0.36363636,de,11,,0,,,,,,
Thüringen,Thüringen,LOC,-0.04000000,0.00000000,de,10,,0,,,,,,
Nordseeküste,Nordseeküste,LOC,0.08750000,0.00000000,de,8,,0,,,,,,
Harz,Harz,LOC,0.04285714,0.00000000,de,7,,0,,,,,,
Hamburg,Hamburg,LOC,0.00000000,0.16666667,de,6,,0,,,,,,
Schwarze Elster,Schwarze Elster,LOC,0.00000000,0.66666667,de,6,,0,,,,,,
Valencia,Valencia,LOC,-0.61666667,0.00000000,de,6,,0,,,,,,
Sturmflut,Sturmflut,LOC,0.00000000,0.00000000,de,5,,0,,,,,,
Ibiza,Ibiza,LOC,0.17500000,0.00000000,de,4,,0,,,,,,
…,…,LOC,0.35000000,0.00000000,de,4,,0,,,,,,
Risiko,Risiko,LOC,0.26250000,0.62500000,de,4,,0,,,,,,
Deutschland,Deutschland,LOC,-0.17500000,0.00000000,de,4,,0,,,,,,
Erdrutschen,Erdrutschen,LOC,0.00000000,0.00000000,de,4,,0,,,,,,
Rettung,Rettung,LOC,0.00000000,1.00000000,de,4,,0,,,,,,
Stadtteile,Stadtteile,LOC,0.70000000,0.00000000,de,4,,0,,,,,,
Landstriche,Landstriche,LOC,0.70000000,0.00000000,de,4,,0,,,,,,
Sachsen,Sachsen,LOC,-0.42500000,0.00000000,de,4,,0,,,,,,
Arzberg,Arzberg,LOC,-0.11666667,0.83333333,de,3,,0,,,,,,
Kramsach,Kramsach,LOC,0.56666667,0.00000000,de,3,,0,,,,,,
Korsika,Korsika,LOC,0.00000000,0.00000000,de,3,,0,,,,,,
Jamaika,Jamaika,LOC,-0.70000000,0.00000000,de,3,,0,,,,,,
Erfurt,Erfurt,LOC,0.00000000,0.00000000,de,3,,0,,,,,,
Nordseeinseln,Nordseeinseln,LOC,-0.23333333,0.00000000,de,3,,0,,,,,,
Jerichower Land,Jerichower Land,LOC,0.00000000,0.00000000,de,3,,0,,,,,,
Philippinen,Philippinen,LOC,0.23333333,0.00000000,de,3,,0,,,,,,
Nordsachsen,Nordsachsen,LOC,0.00000000,0.66666667,de,3,,0,,,,,,
Magdeburg,Magdeburg,LOC,0.00000000,0.00000000,de,3,,0,,,,,,
Weser,Weser,LOC,0.00000000,0.00000000,de,3,,0,,,,,,
Ems,Ems,LOC,0.00000000,0.00000000,de,3,,0,,,,,,
Nepal,Nepal,LOC,0.46666667,0.33333333,de,3,,0,,,,,,
Lainsitz,Lainsitz,LOC,0.35000000,0.00000000,de,2,,0,,,,,,
Landesregierungen,Landesregierungen,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Klagenfurt,Klagenfurt,LOC,-0.15000000,0.00000000,de,2,,0,,,,,,
Viktring,Viktring,LOC,0.35000000,0.00000000,de,2,,0,,,,,,
Mount Everest,Mount Everest,LOC,-0.35000000,0.00000000,de,2,,0,,,,,,
Außenwelt,Außenwelt,LOC,0.00000000,1.00000000,de,2,,0,,,,,,
d…,d…,LOC,-0.50000000,0.00000000,de,2,,0,,,,,,
Taifun Halong,Taifun Halong,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Brandenberger Ache,Brandenberger Ache,LOC,0.35000000,0.00000000,de,2,,0,,,,,,
St. Pölten-Harland,St. Pölten-Harland,LOC,0.35000000,0.00000000,de,2,,0,,,,,,
Gemeinde,Gemeinde,LOC,0.35000000,0.00000000,de,2,,0,,,,,,
Elbdeichs,Elbdeichs,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Halle,Halle,LOC,1.00000000,0.00000000,de,2,,0,,,,,,
Selkestraße,Selkestraße,LOC,1.00000000,0.00000000,de,2,,0,,,,,,
Poppichl,Poppichl,LOC,-0.50000000,0.00000000,de,2,,0,,,,,,
Deichsystem,Deichsystem,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Ukraine,Ukraine,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Belgorod,Belgorod,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Dauerregen,Dauerregen,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Fango,Fango,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Glan,Glan,LOC,-0.50000000,0.00000000,de,2,,0,,,,,,
Alaskas,Alaskas,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Odessa,Odessa,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Landkreis Nordsachsen,Landkreis Nordsachsen,LOC,0.00000000,1.00000000,de,2,,0,,,,,,
Oberfranken,Oberfranken,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Nordsee,Nordsee,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Spanien,Spanien,LOC,-1.00000000,0.00000000,de,2,,0,,,,,,
Hochwasser,Hochwasser,LOC,-1.00000000,0.00000000,de,2,,0,,,,,,
Fährausfälle,Fährausfälle,LOC,-1.00000000,0.00000000,de,2,,0,,,,,,
Orkanböen,Orkanböen,LOC,-1.00000000,0.00000000,de,2,,0,,,,,,
Lafnitz,Lafnitz,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Spaniens,Spaniens,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Niederösterreich,Niederösterreich,LOC,0.35000000,0.00000000,de,2,,0,,,,,,
Atlantik,Atlantik,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Sylt-Fähren,Sylt-Fähren,LOC,-0.70000000,0.00000000,de,2,,0,,,,,,
New Yorker,New Yorker,LOC,-0.17500000,0.25000000,de,2,,0,,,,,,
Bualoi,Bualoi,LOC,0.00000000,0.00000000,de,2,,0,,,,,,
Landkreis Fulda,Landkreis Fulda,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Bezirk Hartberg Fürstenfeld,Bezirk Hartberg Fürstenfeld,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Kreis Bergstraße,Kreis Bergstraße,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Joshua,Joshua,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Landkreis Bergstraße,Landkreis Bergstraße,LOC,-0.70000000,0.00000000,de,1,,0,,,,,,
Maria Saal,Maria Saal,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Österreich,Österreich,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Breitbandausbaus,Breitbandausbaus,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
adressgenau,adressgenau,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Stadt Wien,Stadt Wien,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Überflutungen,Überflutungen,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Fel…,Fel…,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Orchesters,Orchesters,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Wegweiser Überflutungsvorsorge,Wegweiser Überflutungsvorsorge,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Hochwasser-Messanlage,Hochwasser-Messanlage,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Auhofbecken,Auhofbecken,LOC,0.70000000,0.00000000,de,1,,0,,,,,,
Hof,Hof,LOC,1.00000000,0.00000000,de,1,,0,,,,,,
Wienfluss,Wienfluss,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Hohenwarthe/Magdeburg,Hohenwarthe/Magdeburg,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Hochwassereinsätze,Hochwassereinsätze,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Talsperre Kelbra,Talsperre Kelbra,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Kingston,Kingston,LOC,-0.70000000,0.00000000,de,1,,0,,,,,,
großen Treimischer Teiches,großen Treimischer Teiches,LOC,0.70000000,0.00000000,de,1,,0,,,,,,
Karibik,Karibik,LOC,-0.70000000,0.00000000,de,1,,0,,,,,,
New York City,New York City,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Hochwasser-Einsatz,Hochwasser-Einsatz,LOC,-1.00000000,0.00000000,de,1,,0,,,,,,
Ahrtal,Ahrtal,LOC,-1.00000000,0.00000000,de,1,,0,,,,,,
Ex-Soldat,Ex-Soldat,LOC,-1.00000000,0.00000000,de,1,,0,,,,,,
Hohenwarthe,Hohenwarthe,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Jerichower …,Jerichower …,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Fluthelfer,Fluthelfer,LOC,-1.00000000,0.00000000,de,1,,0,,,,,,
Landgericht Hof,Landgericht Hof,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Kinderpornografie,Kinderpornografie,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Dörfern,Dörfern,LOC,0.70000000,0.00000000,de,1,,0,,,,,,
Bayern,Bayern,LOC,1.00000000,0.00000000,de,1,,0,,,,,,
(30,(30,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Bezirk Klagenfurt-…,Bezirk Klagenfurt-…,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Veracruz,Veracruz,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
St. Pölten,St. Pölten,LOC,-1.00000000,0.00000000,de,1,,0,,,,,,
Europas,Europas,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
manövrierunfähiger,manövrierunfähiger,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Emden,Emden,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Bremen,Bremen,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Dreierpack,Dreierpack,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Norderney,Norderney,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Sturmböen,Sturmböen,LOC,0.70000000,0.00000000,de,1,,0,,,,,,
Stadtstaaten Bremen,Stadtstaaten Bremen,LOC,0.00000000,1.00000000,de,1,,0,,,,,,
Pelzfarmen,Pelzfarmen,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Insel La…,Insel La…,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Küste,Küste,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Iden im …,Iden im …,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
Iden im,Iden im,LOC,0.00000000,0.00000000,de,1,,0,,,,,,
