,phrase,label,sentiment,subjectivity,language,count
Umweltministerium,Umweltministerium,ORG,0.5,0.0,de,2.8
SPD,SPD,ORG,-0.35714285714285715,0.0,de,2.8
Schutzbauten,Schutzbauten,ORG,-0.7,0.0,de,2.0
Pella Sietas,Pella Sietas,ORG,-0.8749999999999999,0.0,de,1.6
Bundesamt für Seeschifffahrt und Hydrographie,Bundesamt für Seeschifffahrt und Hydrographie,ORG,0.0,0.0,de,1.4
BSH,BSH,ORG,0.0,0.0,de,1.4
nan,nan,ORG,0.0,0.0,de,1.0
Grünen,Grünen,ORG,0.0,0.0,de,1.0
Bayerischen Roten Kreuzes,Bayerischen Roten Kreuzes,ORG,1.0,0.0,de,1.0
BRK,BRK,ORG,1.0,0.0,de,1.0
Deutschen Lebensrettungs-Gesellschaft,Deutschen Lebensrettungs-Gesellschaft,ORG,1.0,0.0,de,1.0
DLRG,DLRG,ORG,1.0,0.0,de,1.0
Katastroph…,Katastroph…,ORG,0.0,0.0,de,1.0
KameraOne,KameraOne,ORG,0.0,0.0,de,1.0
henrygunthersamuel/…,henrygunthersamuel/…,ORG,0.0,0.0,de,1.0
KI-System,KI-System,ORG,0.0,0.0,de,1.0
Lan…,Lan…,ORG,0.0,0.0,de,1.0
t3n.de Umweltkatastrophen,t3n.de Umweltkatastrophen,ORG,0.0,0.0,de,1.0
Russland,Russland,ORG,1.0,0.0,de,1.0
Talsperr…,Talsperr…,ORG,-0.7,0.0,de,1.0
SEZ,SEZ,ORG,1.0,0.0,de,1.0
Hurra!,Hurra!,ORG,0.0,0.0,de,1.0
BirdLife,BirdLife,ORG,0.0,0.0,de,1.0
Bundesforschungszentrum für Wald,Bundesforschungszentrum für Wald,ORG,0.0,0.0,de,1.0
Hauptstad…,Hauptstad…,ORG,0.0,0.0,de,1.0
Demon…,Demon…,ORG,0.0,0.0,de,1.0
Sonntag …,Sonntag …,ORG,0.0,0.0,de,1.0
bayerische Innenministerium,bayerische Innenministerium,ORG,0.0,0.0,de,1.0
Ministerpräs…,Ministerpräs…,ORG,0.0,0.0,de,1.0
nä…,nä…,ORG,0.0,0.0,de,1.0
steirische Landeswarnzentrale,steirische Landeswarnzentrale,ORG,-1.0,0.0,de,1.0
Umwe…,Umwe…,ORG,0.0,0.0,de,1.0
dpa,dpa,ORG,0.0,0.0,de,1.0
europäischen Marktes,europäischen Marktes,ORG,-1.7,0.0,de,1.0
Masse…,Masse…,ORG,0.0,0.0,de,1.0
au…,au…,ORG,0.0,0.0,de,1.0
Ex-Hurrikans Gabrielle,Ex-Hurrikans Gabrielle,ORG,0.0,0.0,de,1.0
reg…,reg…,ORG,0.0,0.0,de,1.0
Landeswarnzentrale,Landeswarnzentrale,ORG,0.0,0.0,de,1.0
Jahr-Jubiläum,Jahr-Jubiläum,ORG,0.0,0.0,de,1.0
Krisenkoordination,Krisenkoordination,ORG,0.0,0.0,de,1.0
Bund,Bund,ORG,0.0,0.0,de,1.0
CoV-Pandemie,CoV-Pandemie,ORG,0.0,0.0,de,1.0
AK für besseren Versicherungsschutz,AK für besseren Versicherungsschutz,ORG,0.0,0.0,de,1.0
Diktatorensohn h…,Diktatorensohn h…,ORG,0.0,0.0,de,1.0
Wiener Philharmonikern,Wiener Philharmonikern,ORG,0.7,0.0,de,1.0
Die Grünen,Die Grünen,ORG,-0.7,0.0,de,1.0
Hochwasser…,Hochwasser…,ORG,-1.0,0.0,de,1.0
Sparkassen-Eisdom,Sparkassen-Eisdom,ORG,0.7,0.0,de,1.0
ntv.de,ntv.de,ORG,0.0,0.0,de,1.0
sa,sa,ORG,0.0,0.0,de,1.0
Le…,Le…,ORG,0.0,0.0,de,1.0
