,phrase,label,sentiment,subjectivity,language,count
Hennadij Truchanow,Hennadij Truchanow,PER,0.0,0.0,de,2.0
Pülswerda zu,Pülswerda zu,PER,0.0,0.0,de,1.0
Sturm «Bualoi,Sturm «Bualoi,PER,0.7,0.0,de,1.0
Sturmtief Detlef,Sturmtief Detlef,PER,0.7,0.0,de,1.0
Ministerin Behrens,Ministerin Behrens,PER,0.7,0.0,de,1.0
Arbeiterkammer si,Arbeiterkammer si,PER,0.0,0.0,de,1.0
Ferdinand Marcos junior,Ferdinand Marcos junior,PER,-0.15000000000000002,0.0,de,1.0
Spitzname Bongbong,Spitzname Bongbong,PER,-0.15000000000000002,0.0,de,1.0
Hurrikan Melissa,Hurrikan Melissa,PER,0.0,0.0,de,1.0
Ex-Bürgermeister von Odessa,Ex-Bürgermeister von Odessa,PER,0.0,0.0,de,1.0
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,0.0,0.0,de,1.0
Ben von R,Ben von R,PER,1.0,0.0,de,1.0
Andreas Hofer,Andreas Hofer,PER,0.0,0.0,de,1.0
