,Adaptation,Hazard,Mitigation,Impacts,Causes
2025-09-24,0,2,0,0,0
2025-09-25,0,2,0,0,0
2025-09-26,1,2,0,0,0
2025-09-27,0,2,0,0,0
2025-09-28,1,1,0,0,0
2025-09-30,0,1,0,0,0
2025-10-01,3,5,0,0,0
2025-10-02,0,1,0,0,0
2025-10-03,1,3,0,0,0
2025-10-04,0,4,0,0,0
2025-10-05,1,5,0,1,1
2025-10-09,0,1,0,0,0
2025-10-10,2,5,0,0,0
2025-10-11,0,5,0,1,0
2025-10-12,1,6,0,0,0
2025-10-13,0,2,0,1,0
2025-10-15,0,1,0,0,0
2025-10-16,0,1,0,0,0
2025-10-17,0,1,1,0,0
2025-10-22,1,1,0,0,0
2025-10-23,0,2,0,0,0
2025-10-24,0,1,0,0,0
2025-10-27,1,4,0,0,0
2025-10-28,3,5,0,0,2
2025-10-29,1,2,0,0,0
2025-10-31,0,1,0,0,0
